image_id,bbox_id,node_id,seg_id,category_id,id,intersection,seg_area,seg_percent,bbox_percent,distance,centroid_x,centroid_y
test_arcade_img_1,1,2,16_13,16,13,55,50284.0,0.001093787288203007,0.01156894254690649,198.43467005541146,0.5029411764705882,0.22058823529411764
test_arcade_img_1,1,3,10_17,10,17,4439,8442.0,0.5258232646292348,0.9337188357403255,11.723066151822229,0.08235294117647059,0.5823529411764706
test_arcade_img_2,4,5,4_1,4,1,769,769.0,1.0,0.16175485124674707,34.66813435995652,0.42058823529411765,0.7029411764705882
test_arcade_img_2,4,6,4_2,4,2,894,894.0,1.0,0.18804790248971637,36.62599541309422,0.36176470588235293,0.6970588235294117
test_arcade_img_2,4,7,4_3,4,3,788,788.0,1.0,0.16575139503567843,38.800406441170146,0.47352941176470587,0.6970588235294117
test_arcade_img_2,4,8,1_5,1,5,241,241.0,1.0,0.05069300279644479,33.02543777151184,0.31470588235294117,0.5911764705882353
test_arcade_img_2,4,9,4_6,4,6,729,729.0,1.0,0.15334107484899692,48.39896217895585,0.3058823529411765,0.6970588235294117
test_arcade_img_2,4,10,4_7,4,7,1165,1165.0,1.0,0.2450512375844738,76.00104959801541,0.20294117647058824,0.6823529411764706
test_arcade_img_2,4,11,18_9,18,9,2402,3796.0,0.6327713382507903,0.5052472726848979,70.52599194623211,0.5529411764705883,0.7529411764705882
test_arcade_img_2,4,12,10_10,10,10,7061,8444.0,0.8362150639507342,1.4852418786128494,106.25232016290279,0.7235294117647059,0.5882352941176471
test_arcade_img_2,4,13,21_11,21,11,955,23338.0,0.040920387351101206,0.2008789114962854,104.6673948276157,0.4970588235294118,0.8970588235294118
test_arcade_img_2,4,14,4_12,4,12,875,875.0,1.0,0.18405135870078504,53.08332638409162,0.5323529411764706,0.7
test_arcade_img_2,4,15,16_13,16,13,3982,50284.0,0.0791901996658977,0.8375914403960297,133.17227767069244,0.5029411764705882,0.22058823529411764
test_arcade_img_2,4,16,1_16,1,16,217,217.0,1.0,0.04564473695779469,12.659681670563463,0.3764705882352941,0.5882352941176471
test_arcade_img_2,4,17,10_17,10,17,6512,8442.0,0.771381189291637,1.3697627975537283,112.02933339085796,0.08235294117647059,0.5823529411764706
test_arcade_img_2,4,18,4_18,4,18,1044,1044.0,1.0,0.21959956398127953,70.62206128399254,0.5941176470588235,0.7
test_arcade_img_2,4,19,1_20,1,20,198,198.0,1.0,0.04164819316886336,5.477913836489231,0.42058823529411765,0.5882352941176471
test_arcade_img_3,20,21,4_4,4,4,1506,1506.0,1.0,0.316778681375294,47.23592200857308,0.9294117647058824,0.6970588235294117
test_arcade_img_3,20,22,10_8,10,8,577,577.0,1.0,0.12136872453754625,26.14054949690232,0.8352941176470589,0.5088235294117647
test_arcade_img_3,20,23,18_9,18,9,1393,3796.0,0.36696522655426767,0.2930097630516498,115.39374475247783,0.5529411764705883,0.7529411764705882
test_arcade_img_3,20,24,10_10,10,10,5375,8444.0,0.6365466603505447,1.1306012034476796,42.23510776593333,0.7235294117647059,0.5882352941176471
test_arcade_img_3,20,25,21_11,21,11,20,23338.0,0.0008569714628502871,0.004206888198875086,159.66150546703486,0.4970588235294118,0.8970588235294118
test_arcade_img_3,20,26,16_13,16,13,1859,50284.0,0.036970010341261635,0.3910302580854393,170.48754889434008,0.5029411764705882,0.22058823529411764
test_arcade_img_3,20,27,23_14,23,14,23,23.0,1.0,0.004837921428706349,50.53688086932155,0.9911764705882353,0.6235294117647059
test_arcade_img_3,20,28,25_15,25,15,447,447.0,1.0,0.09402395124485818,55.56880714933513,0.9647058823529412,0.47058823529411764
test_arcade_img_3,20,29,4_19,4,19,212,212.0,1.0,0.04459301490807592,50.43570489246679,0.9794117647058823,0.6529411764705882
